-0.011   0.041   0.023  -0.020  -0.026   0.032  -0.114   0.009   0.017   0.010  -0.016   0.010   0.159  -0.223   0.073   0.008  -0.006   0.007   0.104  -0.058   0.077  -0.024  -0.009  -0.030  -0.015   0.004  -0.007   0.040   0.021   0.010  -0.028   0.011  -0.005   0.006   0.006  -0.009   0.002   0.010  -0.019   0.010   0.008  -0.015   0.032  -0.064   0.158   0.043  -0.048   0.007  -0.024   0.018  -0.108  -0.084   0.108  -0.016  -0.005   0.008   0.003   0.008  -0.002   0.034   0.013  -0.008  -0.017   0.002 
 0.012   0.012   0.003  -0.007  -0.013   0.020   0.022   0.012   0.026   0.040   0.007  -0.012   0.043   0.152  -0.111   0.042  -0.000   0.020  -0.043   0.120  -0.102  -0.052  -0.017   0.033  -0.125   0.004  -0.004   0.036   0.013   0.019  -0.015   0.033   0.008   0.043  -0.036   0.050   0.004  -0.017   0.042  -0.016  -0.007  -0.035  -0.004  -0.013   0.013   0.098   0.082  -0.004  -0.010  -0.004   0.044  -0.201  -0.087   0.046  -0.016  -0.042  -0.010   0.164  -0.051   0.008   0.069  -0.065  -0.011  -0.005 
-0.001  -0.051  -0.021   0.020   0.021  -0.035   0.035  -0.022  -0.027  -0.036  -0.001  -0.002  -0.095  -0.004  -0.044  -0.046   0.010  -0.083   0.152  -0.123  -0.042   0.098   0.042  -0.031   0.244  -0.016   0.016  -0.072  -0.029  -0.036   0.019  -0.010  -0.007  -0.045   0.033  -0.058  -0.003   0.027  -0.042  -0.005  -0.012   0.032  -0.012   0.060  -0.034  -0.034  -0.017  -0.012   0.040  -0.032  -0.108   0.259  -0.067  -0.030   0.018   0.064   0.051  -0.276   0.060  -0.020  -0.133   0.095   0.059  -0.003 
-0.008   0.032   0.017  -0.015  -0.019   0.013  -0.067   0.012   0.019   0.008  -0.026   0.002   0.066  -0.024   0.052   0.023  -0.024   0.088  -0.051  -0.038  -0.060  -0.019  -0.044   0.077  -0.145   0.001  -0.011   0.031  -0.012   0.043  -0.005  -0.004  -0.025   0.034  -0.012   0.014  -0.012  -0.004   0.043  -0.021  -0.003  -0.002   0.060  -0.166  -0.006   0.008   0.007   0.030  -0.073   0.136   0.238  -0.045   0.025   0.001   0.009  -0.031  -0.191   0.012  -0.045   0.042   0.096  -0.001  -0.002  -0.028 
 0.008  -0.046   0.010   0.010   0.044  -0.043   0.109  -0.009  -0.062   0.009   0.060  -0.008  -0.115   0.063  -0.039   0.007   0.022   0.038  -0.119   0.050   0.053  -0.016   0.001   0.037   0.042  -0.017   0.000   0.000  -0.007  -0.047  -0.014   0.000   0.034  -0.051   0.011  -0.003   0.035  -0.036  -0.078   0.088   0.017  -0.011  -0.128   0.281   0.102  -0.034   0.005  -0.021   0.101  -0.204  -0.113   0.039  -0.009   0.000   0.015  -0.053   0.008   0.029   0.027  -0.019  -0.006  -0.014   0.011   0.021 
-0.029   0.021  -0.033  -0.015  -0.085   0.149  -0.189   0.013   0.098  -0.039  -0.045   0.095  -0.062  -0.032   0.020  -0.019  -0.004  -0.008   0.062  -0.033  -0.042  -0.005   0.007  -0.049   0.002   0.008  -0.015   0.009  -0.010   0.013  -0.017   0.008  -0.023   0.120  -0.045  -0.008  -0.044   0.139   0.134  -0.175   0.018   0.002   0.054  -0.109  -0.094   0.062  -0.020   0.031  -0.032   0.006  -0.002  -0.013  -0.039  -0.015  -0.046   0.032   0.009  -0.041  -0.017   0.022  -0.012   0.001   0.004  -0.020 
 0.011  -0.021  -0.006   0.030   0.046  -0.064   0.192  -0.066  -0.143   0.036   0.018  -0.005   0.029  -0.019  -0.063   0.056   0.003   0.008  -0.058   0.018   0.027   0.026   0.010   0.003   0.013  -0.030   0.017  -0.036   0.004  -0.009   0.020  -0.020   0.009  -0.056   0.052   0.013   0.004  -0.055   0.060   0.236  -0.007  -0.016  -0.018   0.057  -0.086  -0.168  -0.006  -0.044   0.019   0.025   0.012   0.053   0.120   0.038   0.022  -0.017   0.021  -0.021   0.003  -0.017  -0.012   0.010  -0.020   0.036 
 0.012   0.001   0.052   0.012  -0.030  -0.018  -0.021  -0.052  -0.002   0.031  -0.014  -0.037  -0.008  -0.009   0.189  -0.220  -0.004  -0.018  -0.015  -0.131   0.062   0.019  -0.012   0.031   0.059   0.054  -0.014   0.060  -0.006  -0.018   0.031   0.001  -0.026   0.015   0.011   0.041  -0.006   0.001   0.005  -0.009  -0.044   0.057   0.018  -0.006  -0.008  -0.030   0.149   0.062   0.018   0.000   0.027   0.031  -0.233  -0.087   0.031   0.035  -0.034  -0.012   0.133  -0.008  -0.014   0.022   0.050  -0.066 
-0.005   0.001  -0.008  -0.008   0.010   0.024  -0.000   0.024  -0.007  -0.003   0.009   0.009   0.015  -0.001  -0.011   0.054  -0.002   0.007  -0.007   0.174   0.023  -0.160  -0.004  -0.029  -0.063  -0.097   0.036  -0.069   0.028   0.022  -0.032   0.045   0.001   0.004  -0.011  -0.008   0.009  -0.001  -0.004   0.008   0.020  -0.018  -0.027   0.002   0.018   0.021  -0.024   0.018  -0.002  -0.009   0.006  -0.026   0.165  -0.024  -0.013  -0.044   0.044   0.014  -0.197  -0.014   0.049  -0.036  -0.017   0.113 
-0.000   0.027   0.013  -0.005  -0.006   0.012  -0.030   0.007   0.005   0.009  -0.006  -0.014   0.009  -0.014   0.012  -0.005  -0.000   0.002  -0.007   0.022   0.016   0.003   0.005   0.033  -0.044   0.213  -0.167   0.040  -0.036  -0.057   0.035  -0.104  -0.001   0.013  -0.020   0.018  -0.005  -0.013  -0.006   0.007   0.002  -0.010   0.015   0.002  -0.002  -0.018  -0.003  -0.014  -0.013  -0.021  -0.058  -0.029   0.007  -0.001  -0.010   0.048  -0.078   0.100   0.018  -0.034  -0.038   0.005  -0.021  -0.110 
 0.006   0.012   0.002  -0.000  -0.008   0.034   0.005  -0.001   0.001   0.017   0.017   0.003   0.016   0.012   0.009   0.011   0.008  -0.017  -0.035   0.036   0.021  -0.030  -0.020  -0.029   0.128  -0.149  -0.018   0.026   0.040   0.065  -0.018   0.071   0.006   0.015  -0.019   0.033   0.010   0.009   0.012  -0.003   0.010  -0.019  -0.067   0.009   0.039  -0.007   0.015   0.002   0.046  -0.010   0.083  -0.053   0.014   0.013  -0.003  -0.144   0.116   0.100  -0.005   0.023   0.166  -0.111  -0.128   0.017 
-0.005  -0.005   0.007  -0.005   0.005  -0.033   0.000   0.005  -0.004   0.000  -0.014  -0.001   0.004  -0.002  -0.001  -0.004  -0.015   0.028   0.026  -0.002   0.009   0.009   0.014   0.103  -0.104   0.023   0.006   0.003   0.015  -0.081   0.003  -0.014   0.010  -0.005  -0.013  -0.000  -0.017  -0.039  -0.005   0.003  -0.002   0.006   0.102   0.007  -0.018  -0.006  -0.005  -0.007  -0.096  -0.045  -0.055   0.039  -0.010  -0.002   0.011   0.236   0.009  -0.010   0.004  -0.011  -0.205  -0.089   0.038  -0.003 
-0.006   0.027  -0.016   0.019   0.032   0.068   0.002  -0.001   0.005  -0.010  -0.000   0.006  -0.037   0.013  -0.017  -0.005   0.057  -0.077   0.001   0.014   0.014   0.008   0.163  -0.082   0.037   0.012   0.014  -0.007   0.009  -0.006   0.003  -0.007  -0.030   0.014  -0.006  -0.009   0.026   0.076  -0.004  -0.017   0.021  -0.003  -0.181   0.001   0.030   0.001  -0.011   0.006   0.231   0.120  -0.020   0.003  -0.003  -0.005  -0.175  -0.084   0.044   0.003   0.008  -0.008  -0.034   0.025  -0.008   0.013 
 0.029  -0.038   0.003  -0.016  -0.086  -0.072   0.003   0.004   0.010   0.003  -0.004  -0.013   0.068  -0.026   0.009  -0.027   0.068  -0.049   0.029  -0.030  -0.023   0.027  -0.025  -0.009  -0.043  -0.004  -0.002  -0.015   0.010   0.009   0.020  -0.013   0.068  -0.034   0.012   0.003  -0.076  -0.140   0.036   0.000  -0.050   0.021   0.411   0.003  -0.072   0.023   0.001  -0.013  -0.328   0.020   0.019   0.021   0.007  -0.003   0.059  -0.026   0.011  -0.018  -0.001  -0.012  -0.001   0.001  -0.017  -0.004 
-0.046   0.084  -0.040   0.027   0.156  -0.069   0.038  -0.013   0.014  -0.013   0.108  -0.084  -0.017   0.012  -0.006   0.007  -0.003   0.013  -0.008   0.004   0.002  -0.003  -0.004   0.006   0.006   0.001   0.005  -0.009   0.000   0.006   0.002  -0.002  -0.118  -0.010   0.010  -0.006   0.135   0.204  -0.080   0.003   0.023  -0.002  -0.116  -0.072   0.026  -0.004  -0.003   0.010   0.019  -0.025   0.011  -0.025   0.005   0.010  -0.019   0.024  -0.002   0.005   0.003   0.006   0.001   0.014  -0.011   0.008 
 0.130  -0.186   0.159  -0.065   0.066  -0.032  -0.066   0.049  -0.066   0.067   0.029   0.005   0.017   0.010   0.022  -0.011   0.003  -0.029  -0.003   0.008   0.015   0.006  -0.005   0.050   0.004   0.008   0.006   0.004   0.016   0.004   0.018   0.007   0.245  -0.074   0.003   0.011  -0.020  -0.257   0.122   0.039  -0.053   0.016   0.015  -0.041   0.025  -0.011   0.035  -0.025   0.036   0.015   0.004  -0.001  -0.002  -0.024   0.033  -0.007  -0.017   0.010  -0.002  -0.026   0.019  -0.018   0.023  -0.013 
-0.045   0.125  -0.228   0.118   0.003   0.072   0.026  -0.061   0.122  -0.108  -0.024   0.012  -0.012   0.005  -0.034   0.005  -0.008   0.032  -0.003   0.011  -0.016  -0.009   0.001  -0.046  -0.017  -0.012  -0.007   0.002  -0.021  -0.007  -0.026  -0.010  -0.065   0.168   0.002  -0.072   0.014   0.059  -0.268  -0.044   0.114  -0.020  -0.006   0.022  -0.011   0.020  -0.067   0.016  -0.044  -0.014  -0.016   0.003   0.002   0.039  -0.042   0.003   0.018  -0.001  -0.010   0.028  -0.007   0.004  -0.023   0.019 
 0.020  -0.032   0.182  -0.149  -0.020  -0.007  -0.000   0.019  -0.159   0.148   0.013  -0.031   0.006  -0.018   0.012   0.049   0.007  -0.023   0.029   0.010  -0.008  -0.023   0.002   0.048   0.006   0.015  -0.009   0.015   0.022  -0.001   0.004   0.039  -0.022   0.023   0.108   0.136  -0.005  -0.010   0.059  -0.103  -0.218  -0.016  -0.002  -0.016   0.047   0.012   0.092   0.037   0.028  -0.010  -0.001  -0.030   0.006  -0.071   0.022  -0.014  -0.036   0.037  -0.012   0.001   0.015  -0.015   0.025  -0.016 
-0.017   0.023  -0.047  -0.065  -0.002   0.033  -0.022   0.093   0.113  -0.196  -0.011  -0.002   0.014   0.022   0.023  -0.123  -0.008   0.009  -0.020   0.002   0.034   0.001  -0.008  -0.025  -0.003  -0.004  -0.005   0.051  -0.010  -0.001  -0.005  -0.009  -0.004  -0.017  -0.027  -0.050   0.005   0.007  -0.043  -0.013   0.252   0.001  -0.002  -0.000  -0.010  -0.002  -0.167  -0.080  -0.012  -0.011   0.001   0.036  -0.020   0.164  -0.014   0.016   0.014  -0.018  -0.012  -0.009   0.010  -0.006   0.011   0.017 
-0.015  -0.013  -0.070   0.054   0.025   0.005  -0.035   0.083  -0.085  -0.053   0.006   0.056   0.012   0.003  -0.128   0.311   0.004   0.002   0.037   0.033  -0.079   0.015   0.027  -0.008  -0.028  -0.005   0.005  -0.158   0.003   0.007  -0.024  -0.032   0.027   0.017  -0.025  -0.082   0.007   0.032  -0.034  -0.015   0.004   0.073   0.011   0.009   0.031  -0.023  -0.186   0.221  -0.017   0.012  -0.025  -0.042   0.093  -0.313  -0.011  -0.013  -0.013   0.015  -0.005   0.091  -0.031   0.029  -0.076  -0.000 
 0.007   0.008   0.026  -0.012   0.003  -0.029   0.053  -0.026   0.043   0.016   0.003   0.011  -0.015   0.019   0.047  -0.057   0.004   0.033  -0.034  -0.015   0.071   0.180  -0.006  -0.014   0.017   0.019  -0.062   0.159  -0.010   0.005   0.086  -0.018   0.012  -0.038   0.027   0.040  -0.004  -0.022   0.027   0.010  -0.001   0.000   0.004  -0.009  -0.044   0.056   0.071  -0.025  -0.003   0.019   0.020  -0.018  -0.011   0.206  -0.009  -0.002   0.023  -0.022  -0.012  -0.209   0.018  -0.014  -0.018   0.083 
-0.000  -0.004  -0.009   0.004  -0.005  -0.011  -0.000  -0.003   0.008   0.007  -0.004  -0.002   0.000   0.015  -0.019   0.002   0.000  -0.000   0.023  -0.055  -0.013   0.002  -0.004   0.015  -0.004  -0.005   0.275  -0.115   0.020   0.054  -0.178   0.040  -0.003  -0.009   0.021  -0.020  -0.006   0.003   0.003  -0.016  -0.002   0.012   0.017  -0.017  -0.009  -0.007   0.006   0.003  -0.011   0.005  -0.004   0.040  -0.046   0.031   0.020   0.014  -0.018  -0.038   0.074   0.063  -0.044   0.038   0.027  -0.268 
-0.003  -0.025  -0.005   0.007   0.017  -0.046   0.039  -0.004  -0.016  -0.018   0.009   0.052  -0.018   0.022   0.003  -0.024  -0.000   0.046  -0.013  -0.007  -0.000   0.027   0.007  -0.006   0.048   0.019  -0.070  -0.048   0.031  -0.135   0.365   0.142   0.020  -0.030   0.020  -0.001   0.005   0.006   0.010   0.017  -0.012   0.029   0.002   0.012  -0.029   0.065   0.013   0.012  -0.004   0.037   0.059   0.030   0.035  -0.005  -0.013  -0.001   0.069  -0.012   0.087   0.068   0.018   0.034  -0.090   0.255 
-0.013   0.004  -0.023   0.010   0.025  -0.046   0.010  -0.002   0.012  -0.025  -0.020   0.034  -0.016  -0.004  -0.017  -0.015  -0.007   0.032   0.003  -0.031  -0.021   0.029   0.018  -0.049  -0.055   0.002   0.083  -0.087  -0.129   0.323  -0.082  -0.217  -0.008  -0.032   0.053  -0.046  -0.005  -0.000   0.003  -0.002  -0.010   0.025   0.036  -0.025  -0.043   0.041  -0.019  -0.001  -0.020   0.032  -0.047   0.013   0.001  -0.005  -0.005   0.061  -0.058  -0.030   0.024  -0.033  -0.048  -0.050   0.184   0.037 
 0.016  -0.040  -0.002  -0.001  -0.028  -0.009   0.016  -0.011  -0.006  -0.001   0.025  -0.016  -0.005  -0.009  -0.002  -0.011  -0.002   0.011  -0.002  -0.017  -0.000  -0.001  -0.071   0.021   0.017   0.009  -0.026   0.007   0.240  -0.132  -0.013   0.031   0.010  -0.019   0.035  -0.018   0.008   0.017  -0.001   0.005  -0.014   0.008  -0.026   0.016  -0.019   0.007   0.003  -0.002   0.008   0.011   0.022  -0.004   0.005  -0.005   0.073  -0.133   0.072  -0.028   0.003   0.010  -0.084   0.261  -0.011  -0.015 
-0.035   0.031  -0.016   0.002   0.068  -0.032   0.009   0.008  -0.007  -0.023  -0.024   0.063  -0.020   0.015  -0.010   0.002  -0.005   0.023  -0.033   0.002  -0.005  -0.005   0.129   0.012  -0.049  -0.043   0.015  -0.024  -0.196  -0.094  -0.002  -0.056   0.012  -0.002  -0.027   0.016  -0.006  -0.013   0.010   0.016   0.004   0.001   0.052   0.016   0.017   0.037  -0.010   0.004   0.008   0.016   0.018   0.016   0.005  -0.003  -0.162   0.225   0.085   0.015   0.007  -0.003   0.341  -0.044  -0.019   0.023 
 0.034  -0.068  -0.045   0.010  -0.067  -0.049   0.037  -0.039  -0.004  -0.023  -0.008  -0.021  -0.045  -0.013  -0.037  -0.042   0.050  -0.013  -0.044  -0.060  -0.043   0.015  -0.059  -0.162  -0.007  -0.029  -0.015  -0.057  -0.117   0.049  -0.024  -0.071   0.021  -0.059   0.113  -0.052   0.022   0.019   0.002   0.017  -0.042   0.018  -0.024   0.049  -0.064   0.059   0.002  -0.027  -0.037   0.023   0.015  -0.005   0.003  -0.006   0.362  -0.059  -0.024  -0.060   0.025  -0.001  -0.085   0.071  -0.068   0.027 
