# FILENAME        : /ctrscrut/chara/data//2015_05_12_LABAO_S2_aberrations_001.dat
# GMT YEAR        : 2015
# GMT MONTH       : 5
# GMT DAY         : 12
# FSM STATE       : 0
# Time     Tilt X  Tilt Y   Pos X   Pos Y   Focus    A1      A2
 82819252  0.0014 -0.0310  0.0422  0.0135  0.2668 -0.2612  0.1625
 82819261  0.0092 -0.0245  0.0415  0.0130  0.2895 -0.2331  0.0822
 82819271  0.0050 -0.0248  0.0411  0.0126  0.2837 -0.2076  0.1141
 82819282  0.0033 -0.0292  0.0416  0.0124  0.2908 -0.2286  0.1089
 82819292  0.0024 -0.0262  0.0410  0.0131  0.3228 -0.2456  0.1275
 82819301 -0.0013 -0.0306  0.0401  0.0145  0.3009 -0.2074  0.1205
 82819311  0.0060 -0.0268  0.0410  0.0152  0.2574 -0.2141  0.1037
 82819322  0.0055 -0.0305  0.0403  0.0162  0.3294 -0.2340  0.1440
 82819332  0.0068 -0.0251  0.0397  0.0148  0.3151 -0.2394  0.1031
 82819341  0.0093 -0.0280  0.0402  0.0151  0.3187 -0.2549  0.1026
 82819352  0.0085 -0.0249  0.0414  0.0155  0.2725 -0.2475  0.1347
 82819361  0.0042 -0.0278  0.0414  0.0159  0.3120 -0.2454  0.1740
 82819371  0.0051 -0.0252  0.0413  0.0157  0.2951 -0.2480  0.1427
 82819382  0.0081 -0.0302  0.0415  0.0169  0.3033 -0.2589  0.1427
 82819392  0.0117 -0.0250  0.0414  0.0173  0.3021 -0.2284  0.1250
 82819401  0.0094 -0.0233  0.0412  0.0175  0.3081 -0.2349  0.1350
 82819412  0.0119 -0.0286  0.0408  0.0183  0.3125 -0.2306  0.1224
 82819422  0.0134 -0.0286  0.0411  0.0189  0.3099 -0.2328  0.1311
 82819431  0.0066 -0.0269  0.0401  0.0188  0.3173 -0.2441  0.1529
 82819442  0.0089 -0.0258  0.0393  0.0184  0.3280 -0.2328  0.1158
 82819452  0.0105 -0.0241  0.0383  0.0176  0.3528 -0.2277  0.1365
 82819462  0.0105 -0.0263  0.0381  0.0183  0.3488 -0.2475  0.1371
 82819471  0.0118 -0.0260  0.0377  0.0189  0.3493 -0.2489  0.1407
 82819482  0.0089 -0.0272  0.0382  0.0189  0.3756 -0.2253  0.1575
 82819492  0.0164 -0.0261  0.0382  0.0200  0.3667 -0.2401  0.1301
 82819502  0.0067 -0.0245  0.0381  0.0202  0.3319 -0.2410  0.1540
 82819512  0.0121 -0.0265  0.0378  0.0208  0.3343 -0.2480  0.1317
 82819522  0.0125 -0.0324  0.0381  0.0200  0.3469 -0.2427  0.1351
 82819532  0.0064 -0.0311  0.0388  0.0202  0.3463 -0.2260  0.1597
 82819543  0.0110 -0.0283  0.0386  0.0197  0.3221 -0.2161  0.1142
 82819552  0.0146 -0.0306  0.0373  0.0185  0.3219 -0.2012  0.1388
 82819562  0.0121 -0.0340  0.0374  0.0173  0.3258 -0.2196  0.1709
 82819571  0.0157 -0.0327  0.0371  0.0160  0.3229 -0.2236  0.1291
 82819582  0.0153 -0.0372  0.0361  0.0160  0.3352 -0.2432  0.1378
